ID,Comment,Brand,Platform,Sentiment,Theme,Date
510,Colors seem different from pictures.,Sana Safinaz,Facebook,Neutral,Sustainability,2024-08-25
511,Excellent customer service. Highly recommended.,Gul Ahmed,Twitter,Positive,Sale,2024-03-17
512,"Poor fabric quality, not worth the price.",Khaadi,Instagram,Negative,Customer Service,2024-06-16
513,Excellent customer service. Highly recommended.,Sana Safinaz,Twitter,Positive,Sale,2024-11-07
514,Colors seem different from pictures.,Sapphire,Twitter,Neutral,New Collection,2024-12-13
515,"Delivery was on time, average service.",Khaadi,Facebook,Neutral,Delivery Experience,2024-08-24
516,Excellent customer service. Highly recommended.,Gul Ahmed,Instagram,Positive,New Collection,2024-06-07
517,Great quality and beautiful designs.,Khaadi,Facebook,Positive,Sale,2024-11-19
518,Prices are a bit high compared to last year.,Sapphire,Facebook,Neutral,Sustainability,2024-01-19
519,Very happy with the purchase. Will shop again!,Khaadi,Facebook,Positive,Sale,2024-05-28
520,Appreciate the sustainable packaging. Well done!,Sapphire,Instagram,Positive,Delivery Experience,2024-08-21
521,Loved the new collection! Absolutely stunning.,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-06-13
522,Very happy with the purchase. Will shop again!,Khaadi,Facebook,Positive,Delivery Experience,2024-06-03
523,Received a wrong item and no response to complaint.,Sana Safinaz,Instagram,Negative,Sustainability,2024-10-24
524,Very happy with the purchase. Will shop again!,Gul Ahmed,Twitter,Positive,Customer Service,2024-05-02
525,Very happy with the purchase. Will shop again!,Sana Safinaz,Twitter,Positive,Sale,2024-09-22
526,Disappointed with the delivery delay.,Sapphire,Twitter,Negative,Sustainability,2024-01-25
527,Bad experience with the website. Very slow.,Alkaram,Twitter,Negative,Sustainability,2024-07-17
528,"The collection looks okay, nothing special.",Khaadi,Twitter,Neutral,Customer Service,2024-06-02
529,Received a wrong item and no response to complaint.,Alkaram,Twitter,Negative,Sustainability,2024-11-12
530,"Delivery was on time, average service.",Sapphire,Twitter,Neutral,Sustainability,2024-08-23
531,Appreciate the sustainable packaging. Well done!,Sapphire,Instagram,Positive,Delivery Experience,2024-12-02
532,Prices are a bit high compared to last year.,Sana Safinaz,Instagram,Neutral,Customer Service,2024-05-27
533,Had a decent shopping experience.,Sana Safinaz,Twitter,Neutral,Sustainability,2024-10-16
534,Colors seem different from pictures.,Sana Safinaz,Instagram,Neutral,Sustainability,2024-09-23
535,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,New Collection,2024-03-20
536,"Poor fabric quality, not worth the price.",Khaadi,Instagram,Negative,Sustainability,2024-06-18
537,Excellent customer service. Highly recommended.,Khaadi,Facebook,Positive,Delivery Experience,2024-07-13
538,Prices are a bit high compared to last year.,Sana Safinaz,Facebook,Neutral,Customer Service,2024-01-04
539,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Facebook,Positive,Customer Service,2024-05-24
540,Customer service was unhelpful.,Khaadi,Instagram,Negative,New Collection,2024-08-26
541,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Sale,2024-09-27
542,Colors seem different from pictures.,Gul Ahmed,Facebook,Neutral,Delivery Experience,2024-09-10
543,"Poor fabric quality, not worth the price.",Sana Safinaz,Twitter,Negative,Customer Service,2024-03-30
544,"Poor fabric quality, not worth the price.",Gul Ahmed,Facebook,Negative,Customer Service,2024-03-10
545,Excellent customer service. Highly recommended.,Sana Safinaz,Twitter,Positive,Sale,2024-09-10
546,Had a decent shopping experience.,Sapphire,Instagram,Neutral,Delivery Experience,2024-03-01
547,Prices are a bit high compared to last year.,Sapphire,Instagram,Neutral,Customer Service,2024-01-18
548,"Poor fabric quality, not worth the price.",Alkaram,Twitter,Negative,Customer Service,2024-05-30
549,Very happy with the purchase. Will shop again!,Sana Safinaz,Facebook,Positive,Customer Service,2024-04-16
550,Received a wrong item and no response to complaint.,Alkaram,Instagram,Negative,Sustainability,2024-02-03
551,"The collection looks okay, nothing special.",Alkaram,Instagram,Neutral,Customer Service,2024-03-10
552,Colors seem different from pictures.,Gul Ahmed,Instagram,Neutral,Sale,2024-07-27
553,"The collection looks okay, nothing special.",Gul Ahmed,Instagram,Neutral,Sustainability,2024-02-09
554,Disappointed with the delivery delay.,Sana Safinaz,Twitter,Negative,Sale,2024-08-10
555,Bad experience with the website. Very slow.,Sana Safinaz,Instagram,Negative,Sale,2024-01-08
556,Great quality and beautiful designs.,Alkaram,Instagram,Positive,Customer Service,2024-05-18
557,Colors seem different from pictures.,Sapphire,Instagram,Neutral,Sustainability,2024-02-18
558,Excellent customer service. Highly recommended.,Sapphire,Twitter,Positive,Sustainability,2024-10-28
559,Customer service was unhelpful.,Gul Ahmed,Instagram,Negative,Delivery Experience,2024-01-11
560,Disappointed with the delivery delay.,Sana Safinaz,Instagram,Negative,Customer Service,2024-01-19
561,Disappointed with the delivery delay.,Sana Safinaz,Instagram,Negative,New Collection,2024-08-10
562,Very happy with the purchase. Will shop again!,Gul Ahmed,Facebook,Positive,Sale,2024-03-25
563,Appreciate the sustainable packaging. Well done!,Sapphire,Twitter,Positive,Sale,2024-12-08
564,"Poor fabric quality, not worth the price.",Khaadi,Twitter,Negative,New Collection,2024-07-12
565,"Delivery was on time, average service.",Sana Safinaz,Twitter,Neutral,New Collection,2024-12-09
566,"Poor fabric quality, not worth the price.",Gul Ahmed,Facebook,Negative,New Collection,2024-05-18
567,Excellent customer service. Highly recommended.,Gul Ahmed,Facebook,Positive,Sustainability,2024-03-22
568,Bad experience with the website. Very slow.,Alkaram,Twitter,Negative,Sale,2024-05-19
569,"The collection looks okay, nothing special.",Sana Safinaz,Twitter,Neutral,Sale,2024-02-23
570,Loved the new collection! Absolutely stunning.,Khaadi,Twitter,Positive,New Collection,2024-12-16
571,Received a wrong item and no response to complaint.,Alkaram,Instagram,Negative,Sale,2024-05-10
572,Bad experience with the website. Very slow.,Alkaram,Twitter,Negative,Customer Service,2024-07-17
573,"Delivery was on time, average service.",Alkaram,Twitter,Neutral,Delivery Experience,2024-10-14
574,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Facebook,Positive,Sustainability,2024-04-24
575,Loved the new collection! Absolutely stunning.,Gul Ahmed,Twitter,Positive,New Collection,2024-09-27
576,Great quality and beautiful designs.,Gul Ahmed,Twitter,Positive,Sustainability,2024-06-27
577,Great quality and beautiful designs.,Khaadi,Facebook,Positive,Customer Service,2024-12-12
578,Great quality and beautiful designs.,Alkaram,Twitter,Positive,New Collection,2024-08-23
579,Very happy with the purchase. Will shop again!,Gul Ahmed,Twitter,Positive,New Collection,2024-03-15
580,Very happy with the purchase. Will shop again!,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-02-13
581,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,Sustainability,2024-12-27
582,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Facebook,Positive,Customer Service,2024-04-18
583,Excellent customer service. Highly recommended.,Alkaram,Facebook,Positive,Sale,2024-06-16
584,"Poor fabric quality, not worth the price.",Khaadi,Facebook,Negative,Customer Service,2024-11-27
585,Bad experience with the website. Very slow.,Alkaram,Facebook,Negative,Sustainability,2024-06-09
586,Excellent customer service. Highly recommended.,Gul Ahmed,Instagram,Positive,New Collection,2024-02-21
587,Excellent customer service. Highly recommended.,Gul Ahmed,Twitter,Positive,Customer Service,2024-12-02
588,Excellent customer service. Highly recommended.,Gul Ahmed,Facebook,Positive,Sustainability,2024-07-13
589,"The collection looks okay, nothing special.",Sana Safinaz,Instagram,Neutral,Sale,2024-01-23
590,"The collection looks okay, nothing special.",Alkaram,Instagram,Neutral,Sale,2024-09-18
591,"The collection looks okay, nothing special.",Khaadi,Instagram,Neutral,Sale,2024-03-15
592,Loved the new collection! Absolutely stunning.,Sapphire,Instagram,Positive,New Collection,2024-04-12
593,"The collection looks okay, nothing special.",Sana Safinaz,Instagram,Neutral,New Collection,2024-11-11
594,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Customer Service,2024-05-31
595,Bad experience with the website. Very slow.,Alkaram,Facebook,Negative,New Collection,2024-02-01
596,Prices are a bit high compared to last year.,Sapphire,Instagram,Neutral,Sale,2024-04-11
597,"Delivery was on time, average service.",Sapphire,Instagram,Neutral,New Collection,2024-07-15
598,Prices are a bit high compared to last year.,Gul Ahmed,Twitter,Neutral,Delivery Experience,2024-12-04
599,Colors seem different from pictures.,Khaadi,Twitter,Neutral,Sustainability,2024-06-03
600,Loved the new collection! Absolutely stunning.,Alkaram,Twitter,Positive,Sustainability,2024-08-18
601,"The collection looks okay, nothing special.",Sana Safinaz,Twitter,Neutral,Sustainability,2024-12-29
602,Received a wrong item and no response to complaint.,Khaadi,Instagram,Negative,Sustainability,2024-07-27
603,Customer service was unhelpful.,Alkaram,Instagram,Negative,Delivery Experience,2024-06-14
604,Bad experience with the website. Very slow.,Gul Ahmed,Instagram,Negative,Delivery Experience,2024-08-13
605,Bad experience with the website. Very slow.,Alkaram,Instagram,Negative,Delivery Experience,2024-06-21
606,Very happy with the purchase. Will shop again!,Khaadi,Instagram,Positive,Sale,2024-06-18
607,Great quality and beautiful designs.,Alkaram,Instagram,Positive,Delivery Experience,2024-09-29
608,"Delivery was on time, average service.",Sana Safinaz,Instagram,Neutral,Delivery Experience,2024-09-05
609,Great quality and beautiful designs.,Khaadi,Instagram,Positive,Customer Service,2024-01-20
610,Very happy with the purchase. Will shop again!,Alkaram,Instagram,Positive,Delivery Experience,2024-11-23
611,Appreciate the sustainable packaging. Well done!,Khaadi,Facebook,Positive,Sustainability,2024-02-05
612,Disappointed with the delivery delay.,Sana Safinaz,Twitter,Negative,Sustainability,2024-03-24
613,"The collection looks okay, nothing special.",Alkaram,Instagram,Neutral,New Collection,2024-10-17
614,Customer service was unhelpful.,Gul Ahmed,Facebook,Negative,New Collection,2024-07-12
615,Customer service was unhelpful.,Sana Safinaz,Facebook,Negative,Sustainability,2024-03-07
616,Bad experience with the website. Very slow.,Khaadi,Instagram,Negative,Delivery Experience,2024-10-10
617,"Delivery was on time, average service.",Sapphire,Twitter,Neutral,Sustainability,2024-10-29
618,Very happy with the purchase. Will shop again!,Sana Safinaz,Facebook,Positive,New Collection,2024-11-27
619,Loved the new collection! Absolutely stunning.,Alkaram,Instagram,Positive,New Collection,2024-10-31
620,Customer service was unhelpful.,Alkaram,Twitter,Negative,New Collection,2024-04-24
621,"The collection looks okay, nothing special.",Alkaram,Twitter,Neutral,Sustainability,2024-06-10
622,Great quality and beautiful designs.,Khaadi,Facebook,Positive,Sustainability,2024-12-11
623,Customer service was unhelpful.,Alkaram,Instagram,Negative,Delivery Experience,2024-12-16
624,Loved the new collection! Absolutely stunning.,Sapphire,Facebook,Positive,Sustainability,2024-07-30
625,Received a wrong item and no response to complaint.,Gul Ahmed,Facebook,Negative,Delivery Experience,2024-10-03
626,Loved the new collection! Absolutely stunning.,Sapphire,Facebook,Positive,Sustainability,2024-02-09
627,"The collection looks okay, nothing special.",Sana Safinaz,Twitter,Neutral,Sale,2024-12-08
628,Excellent customer service. Highly recommended.,Sana Safinaz,Instagram,Positive,Delivery Experience,2024-01-01
629,Colors seem different from pictures.,Sapphire,Facebook,Neutral,Customer Service,2024-12-02
630,"Poor fabric quality, not worth the price.",Sapphire,Twitter,Negative,Sustainability,2024-12-28
631,Appreciate the sustainable packaging. Well done!,Khaadi,Instagram,Positive,Delivery Experience,2024-02-06
632,Disappointed with the delivery delay.,Gul Ahmed,Twitter,Negative,Delivery Experience,2024-03-14
633,Loved the new collection! Absolutely stunning.,Gul Ahmed,Twitter,Positive,Sale,2024-11-19
634,"Delivery was on time, average service.",Gul Ahmed,Facebook,Neutral,New Collection,2024-06-27
635,Customer service was unhelpful.,Sapphire,Facebook,Negative,Sustainability,2024-07-10
636,Great quality and beautiful designs.,Sana Safinaz,Twitter,Positive,Delivery Experience,2024-07-08
637,Loved the new collection! Absolutely stunning.,Gul Ahmed,Facebook,Positive,Sustainability,2024-10-19
638,Had a decent shopping experience.,Sapphire,Instagram,Neutral,Sustainability,2024-02-04
639,Great quality and beautiful designs.,Sapphire,Facebook,Positive,Delivery Experience,2024-09-19
640,Colors seem different from pictures.,Gul Ahmed,Facebook,Neutral,Sale,2024-03-12
641,Received a wrong item and no response to complaint.,Gul Ahmed,Facebook,Negative,Customer Service,2024-06-20
642,"Poor fabric quality, not worth the price.",Khaadi,Instagram,Negative,Sustainability,2024-01-11
643,Appreciate the sustainable packaging. Well done!,Alkaram,Twitter,Positive,Delivery Experience,2024-12-21
644,Customer service was unhelpful.,Alkaram,Facebook,Negative,Sale,2024-12-02
645,"Poor fabric quality, not worth the price.",Khaadi,Facebook,Negative,New Collection,2024-06-28
646,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Instagram,Positive,Sale,2024-10-29
647,Had a decent shopping experience.,Khaadi,Twitter,Neutral,New Collection,2024-11-15
648,Received a wrong item and no response to complaint.,Sana Safinaz,Facebook,Negative,New Collection,2024-01-05
649,Prices are a bit high compared to last year.,Alkaram,Facebook,Neutral,Sale,2024-04-24
650,Appreciate the sustainable packaging. Well done!,Sapphire,Twitter,Positive,Delivery Experience,2024-08-08
651,Disappointed with the delivery delay.,Gul Ahmed,Facebook,Negative,Sale,2024-10-05
652,"Delivery was on time, average service.",Alkaram,Facebook,Neutral,New Collection,2024-05-22
653,Loved the new collection! Absolutely stunning.,Gul Ahmed,Facebook,Positive,Sale,2024-05-29
654,Appreciate the sustainable packaging. Well done!,Sapphire,Instagram,Positive,Sale,2024-06-12
655,Appreciate the sustainable packaging. Well done!,Khaadi,Instagram,Positive,Delivery Experience,2024-06-28
656,Appreciate the sustainable packaging. Well done!,Khaadi,Twitter,Positive,Sale,2024-08-22
657,Bad experience with the website. Very slow.,Sana Safinaz,Facebook,Negative,Delivery Experience,2024-09-12
658,"Poor fabric quality, not worth the price.",Alkaram,Facebook,Negative,Customer Service,2024-12-24
659,Appreciate the sustainable packaging. Well done!,Sapphire,Twitter,Positive,Sustainability,2024-07-24
660,Great quality and beautiful designs.,Gul Ahmed,Twitter,Positive,New Collection,2024-04-13
661,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Instagram,Positive,Customer Service,2024-10-09
662,"Delivery was on time, average service.",Sapphire,Instagram,Neutral,New Collection,2024-03-21
663,Colors seem different from pictures.,Gul Ahmed,Facebook,Neutral,Delivery Experience,2024-01-10
664,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,Customer Service,2024-01-26
665,Bad experience with the website. Very slow.,Alkaram,Instagram,Negative,Delivery Experience,2024-09-08
666,Had a decent shopping experience.,Khaadi,Instagram,Neutral,Delivery Experience,2024-10-09
667,Excellent customer service. Highly recommended.,Gul Ahmed,Facebook,Positive,Customer Service,2024-05-12
668,Prices are a bit high compared to last year.,Sapphire,Twitter,Neutral,Customer Service,2024-09-06
669,Great quality and beautiful designs.,Sapphire,Instagram,Positive,Delivery Experience,2024-10-16
670,Bad experience with the website. Very slow.,Gul Ahmed,Instagram,Negative,New Collection,2024-04-17
671,Colors seem different from pictures.,Khaadi,Twitter,Neutral,Customer Service,2024-06-19
672,"Delivery was on time, average service.",Gul Ahmed,Facebook,Neutral,Sustainability,2024-02-29
673,Bad experience with the website. Very slow.,Gul Ahmed,Facebook,Negative,Customer Service,2024-05-18
674,Prices are a bit high compared to last year.,Alkaram,Instagram,Neutral,Delivery Experience,2024-10-15
675,Disappointed with the delivery delay.,Alkaram,Instagram,Negative,Customer Service,2024-08-08
676,Great quality and beautiful designs.,Sapphire,Instagram,Positive,Delivery Experience,2024-01-17
677,Loved the new collection! Absolutely stunning.,Alkaram,Instagram,Positive,New Collection,2024-11-07
678,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Customer Service,2024-07-06
679,Bad experience with the website. Very slow.,Sana Safinaz,Facebook,Negative,New Collection,2024-01-12
680,Prices are a bit high compared to last year.,Gul Ahmed,Twitter,Neutral,Sale,2024-04-23
681,Bad experience with the website. Very slow.,Alkaram,Instagram,Negative,Sale,2024-01-23
682,Prices are a bit high compared to last year.,Gul Ahmed,Facebook,Neutral,Sale,2024-09-18
683,Received a wrong item and no response to complaint.,Sapphire,Facebook,Negative,Sale,2024-12-11
684,"Delivery was on time, average service.",Gul Ahmed,Facebook,Neutral,Sale,2024-05-22
685,Loved the new collection! Absolutely stunning.,Khaadi,Instagram,Positive,Sale,2024-10-17
686,Appreciate the sustainable packaging. Well done!,Sapphire,Twitter,Positive,Sale,2024-02-13
687,Disappointed with the delivery delay.,Gul Ahmed,Instagram,Negative,Delivery Experience,2024-12-24
688,"The collection looks okay, nothing special.",Gul Ahmed,Twitter,Neutral,New Collection,2024-06-25
689,Very happy with the purchase. Will shop again!,Gul Ahmed,Twitter,Positive,New Collection,2024-12-08
690,Prices are a bit high compared to last year.,Gul Ahmed,Twitter,Neutral,New Collection,2024-05-20
691,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,Customer Service,2024-12-03
692,Excellent customer service. Highly recommended.,Gul Ahmed,Instagram,Positive,Customer Service,2024-07-26
693,"Delivery was on time, average service.",Khaadi,Facebook,Neutral,New Collection,2024-10-17
694,Customer service was unhelpful.,Gul Ahmed,Instagram,Negative,Customer Service,2024-12-30
695,Excellent customer service. Highly recommended.,Sana Safinaz,Instagram,Positive,Customer Service,2024-02-28
696,Prices are a bit high compared to last year.,Gul Ahmed,Twitter,Neutral,Sustainability,2024-06-22
697,Prices are a bit high compared to last year.,Alkaram,Instagram,Neutral,Customer Service,2024-03-08
698,Customer service was unhelpful.,Gul Ahmed,Twitter,Negative,Sustainability,2024-09-01
699,Colors seem different from pictures.,Sapphire,Facebook,Neutral,New Collection,2024-10-31
700,Colors seem different from pictures.,Gul Ahmed,Twitter,Neutral,Customer Service,2024-08-12
701,"Delivery was on time, average service.",Sana Safinaz,Instagram,Neutral,Customer Service,2024-03-19
702,Disappointed with the delivery delay.,Gul Ahmed,Facebook,Negative,Delivery Experience,2024-03-29
703,"Poor fabric quality, not worth the price.",Gul Ahmed,Instagram,Negative,New Collection,2024-08-31
704,Loved the new collection! Absolutely stunning.,Khaadi,Facebook,Positive,Delivery Experience,2024-11-24
705,Customer service was unhelpful.,Alkaram,Facebook,Negative,Sustainability,2024-02-08
706,Very happy with the purchase. Will shop again!,Alkaram,Instagram,Positive,Sustainability,2024-09-03
707,Disappointed with the delivery delay.,Alkaram,Facebook,Negative,Sale,2024-08-05
708,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,Delivery Experience,2024-04-20
709,Great quality and beautiful designs.,Alkaram,Twitter,Positive,New Collection,2024-03-22
710,Very happy with the purchase. Will shop again!,Gul Ahmed,Facebook,Positive,Delivery Experience,2024-03-15
711,Bad experience with the website. Very slow.,Khaadi,Twitter,Negative,New Collection,2024-11-03
712,Customer service was unhelpful.,Gul Ahmed,Facebook,Negative,Sale,2024-01-01
713,Very happy with the purchase. Will shop again!,Khaadi,Instagram,Positive,Delivery Experience,2024-11-13
714,Had a decent shopping experience.,Sapphire,Twitter,Neutral,Delivery Experience,2024-07-01
715,Bad experience with the website. Very slow.,Gul Ahmed,Facebook,Negative,Sale,2024-12-10
716,Colors seem different from pictures.,Khaadi,Facebook,Neutral,Sustainability,2024-07-10
717,Very happy with the purchase. Will shop again!,Gul Ahmed,Facebook,Positive,Delivery Experience,2024-06-15
718,Prices are a bit high compared to last year.,Sapphire,Twitter,Neutral,Customer Service,2024-09-21
719,"Poor fabric quality, not worth the price.",Khaadi,Facebook,Negative,Sustainability,2024-02-08
720,"The collection looks okay, nothing special.",Sapphire,Instagram,Neutral,Delivery Experience,2024-10-19
721,Appreciate the sustainable packaging. Well done!,Sapphire,Instagram,Positive,Delivery Experience,2024-04-05
722,Disappointed with the delivery delay.,Khaadi,Twitter,Negative,New Collection,2024-06-12
723,Had a decent shopping experience.,Sana Safinaz,Twitter,Neutral,Sustainability,2024-12-08
724,Loved the new collection! Absolutely stunning.,Sana Safinaz,Facebook,Positive,New Collection,2024-01-11
725,Bad experience with the website. Very slow.,Sana Safinaz,Twitter,Negative,Sustainability,2024-06-20
726,Appreciate the sustainable packaging. Well done!,Sapphire,Instagram,Positive,Customer Service,2024-06-25
727,"Poor fabric quality, not worth the price.",Gul Ahmed,Instagram,Negative,Sale,2024-05-16
728,Bad experience with the website. Very slow.,Sana Safinaz,Twitter,Negative,Delivery Experience,2024-01-14
729,Bad experience with the website. Very slow.,Alkaram,Facebook,Negative,Delivery Experience,2024-05-03
730,Excellent customer service. Highly recommended.,Khaadi,Twitter,Positive,Customer Service,2024-02-05
731,"Delivery was on time, average service.",Khaadi,Facebook,Neutral,Sustainability,2024-02-20
732,Excellent customer service. Highly recommended.,Alkaram,Instagram,Positive,Delivery Experience,2024-09-05
733,Excellent customer service. Highly recommended.,Khaadi,Twitter,Positive,New Collection,2024-08-23
734,Very happy with the purchase. Will shop again!,Sapphire,Facebook,Positive,New Collection,2024-11-29
735,Loved the new collection! Absolutely stunning.,Gul Ahmed,Facebook,Positive,Delivery Experience,2024-09-09
736,Excellent customer service. Highly recommended.,Sapphire,Facebook,Positive,Sale,2024-02-13
737,Had a decent shopping experience.,Sapphire,Facebook,Neutral,Sale,2024-05-18
738,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Sustainability,2024-08-16
739,Appreciate the sustainable packaging. Well done!,Sapphire,Instagram,Positive,Sustainability,2024-03-21
740,Prices are a bit high compared to last year.,Khaadi,Instagram,Neutral,Delivery Experience,2024-08-05
741,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Delivery Experience,2024-02-03
742,"The collection looks okay, nothing special.",Khaadi,Facebook,Neutral,Sustainability,2024-02-06
743,"Poor fabric quality, not worth the price.",Gul Ahmed,Twitter,Negative,Sale,2024-09-09
744,"The collection looks okay, nothing special.",Khaadi,Facebook,Neutral,New Collection,2024-05-23
745,Loved the new collection! Absolutely stunning.,Sapphire,Facebook,Positive,Sale,2024-03-31
746,Had a decent shopping experience.,Sapphire,Facebook,Neutral,New Collection,2024-10-22
747,Received a wrong item and no response to complaint.,Sapphire,Facebook,Negative,Customer Service,2024-10-08
748,"Poor fabric quality, not worth the price.",Khaadi,Facebook,Negative,Sale,2024-10-01
749,Received a wrong item and no response to complaint.,Alkaram,Instagram,Negative,New Collection,2024-12-27
750,Disappointed with the delivery delay.,Sapphire,Twitter,Negative,Sustainability,2024-06-23
751,"Poor fabric quality, not worth the price.",Sana Safinaz,Twitter,Negative,Sale,2024-09-02
752,Excellent customer service. Highly recommended.,Alkaram,Facebook,Positive,Sale,2024-01-19
753,"The collection looks okay, nothing special.",Sapphire,Twitter,Neutral,Sustainability,2024-03-06
754,Received a wrong item and no response to complaint.,Alkaram,Twitter,Negative,Customer Service,2024-08-10
755,"Delivery was on time, average service.",Sana Safinaz,Facebook,Neutral,New Collection,2024-06-19
756,"Poor fabric quality, not worth the price.",Khaadi,Twitter,Negative,Customer Service,2024-02-14
757,Disappointed with the delivery delay.,Alkaram,Instagram,Negative,Delivery Experience,2024-05-27
758,"Delivery was on time, average service.",Sapphire,Facebook,Neutral,Customer Service,2024-03-04
759,Loved the new collection! Absolutely stunning.,Khaadi,Twitter,Positive,Sustainability,2024-10-05
760,"The collection looks okay, nothing special.",Sana Safinaz,Instagram,Neutral,Customer Service,2024-11-05
761,Very happy with the purchase. Will shop again!,Alkaram,Instagram,Positive,Delivery Experience,2024-02-01
762,Excellent customer service. Highly recommended.,Alkaram,Twitter,Positive,Delivery Experience,2024-08-19
763,Customer service was unhelpful.,Gul Ahmed,Instagram,Negative,Delivery Experience,2024-01-30
764,"Delivery was on time, average service.",Khaadi,Instagram,Neutral,New Collection,2024-07-03
765,Excellent customer service. Highly recommended.,Sana Safinaz,Facebook,Positive,Delivery Experience,2024-08-21
766,Bad experience with the website. Very slow.,Khaadi,Facebook,Negative,Customer Service,2024-04-12
767,Received a wrong item and no response to complaint.,Alkaram,Twitter,Negative,Customer Service,2024-09-12
768,Received a wrong item and no response to complaint.,Alkaram,Facebook,Negative,Sale,2024-09-15
769,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,Sustainability,2024-10-30
770,"Delivery was on time, average service.",Sana Safinaz,Twitter,Neutral,Sale,2024-10-24
771,Bad experience with the website. Very slow.,Sana Safinaz,Instagram,Negative,Sustainability,2024-06-14
772,Disappointed with the delivery delay.,Alkaram,Instagram,Negative,Customer Service,2024-06-19
773,Customer service was unhelpful.,Khaadi,Twitter,Negative,Customer Service,2024-08-29
774,Great quality and beautiful designs.,Khaadi,Facebook,Positive,Customer Service,2024-11-26
775,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Delivery Experience,2024-03-09
776,Prices are a bit high compared to last year.,Alkaram,Instagram,Neutral,Delivery Experience,2024-06-22
777,Colors seem different from pictures.,Khaadi,Facebook,Neutral,Customer Service,2024-04-27
778,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Sustainability,2024-02-22
779,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Sale,2024-05-12
780,Loved the new collection! Absolutely stunning.,Alkaram,Twitter,Positive,Sustainability,2024-07-06
781,Loved the new collection! Absolutely stunning.,Khaadi,Instagram,Positive,New Collection,2024-08-20
782,Prices are a bit high compared to last year.,Gul Ahmed,Instagram,Neutral,New Collection,2024-12-30
783,"The collection looks okay, nothing special.",Gul Ahmed,Instagram,Neutral,Delivery Experience,2024-02-12
784,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Delivery Experience,2024-03-25
785,Very happy with the purchase. Will shop again!,Gul Ahmed,Instagram,Positive,Sustainability,2024-11-26
786,Received a wrong item and no response to complaint.,Gul Ahmed,Instagram,Negative,Sustainability,2024-06-10
787,Very happy with the purchase. Will shop again!,Sana Safinaz,Facebook,Positive,Sustainability,2024-09-26
788,Customer service was unhelpful.,Alkaram,Facebook,Negative,Sustainability,2024-09-12
789,Had a decent shopping experience.,Sapphire,Twitter,Neutral,New Collection,2024-07-31
790,Prices are a bit high compared to last year.,Sana Safinaz,Instagram,Neutral,Sale,2024-12-14
791,Bad experience with the website. Very slow.,Alkaram,Twitter,Negative,Sustainability,2024-09-02
792,Excellent customer service. Highly recommended.,Khaadi,Instagram,Positive,Delivery Experience,2024-11-09
793,Customer service was unhelpful.,Gul Ahmed,Twitter,Negative,Sustainability,2024-05-30
794,"Poor fabric quality, not worth the price.",Gul Ahmed,Instagram,Negative,Customer Service,2024-02-28
795,Prices are a bit high compared to last year.,Sapphire,Facebook,Neutral,Customer Service,2024-02-05
796,Received a wrong item and no response to complaint.,Gul Ahmed,Instagram,Negative,Sustainability,2024-06-09
797,"Poor fabric quality, not worth the price.",Khaadi,Twitter,Negative,Customer Service,2024-12-08
798,"Poor fabric quality, not worth the price.",Sapphire,Facebook,Negative,Sale,2024-11-08
799,Prices are a bit high compared to last year.,Sana Safinaz,Facebook,Neutral,Delivery Experience,2024-03-26
800,Had a decent shopping experience.,Sana Safinaz,Instagram,Neutral,Sustainability,2024-03-13
801,Had a decent shopping experience.,Sapphire,Facebook,Neutral,Sale,2024-04-21
802,"Delivery was on time, average service.",Khaadi,Instagram,Neutral,Delivery Experience,2024-07-14
803,"Poor fabric quality, not worth the price.",Sana Safinaz,Facebook,Negative,Sustainability,2024-09-01
804,Excellent customer service. Highly recommended.,Khaadi,Twitter,Positive,Sustainability,2024-11-07
805,Loved the new collection! Absolutely stunning.,Sana Safinaz,Instagram,Positive,Sustainability,2024-05-15
806,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Twitter,Positive,New Collection,2024-09-21
807,Prices are a bit high compared to last year.,Sapphire,Twitter,Neutral,Sale,2024-12-17
808,"The collection looks okay, nothing special.",Sapphire,Twitter,Neutral,Customer Service,2024-05-26
809,Excellent customer service. Highly recommended.,Sana Safinaz,Twitter,Positive,New Collection,2024-06-06
